url	first_seen	portal	title	company	status
https://jobs.lever.co/bluewheelmedia/3c54dda1-dfa5-4a46-b5ad-9ff7eb83edd1	2026-04-28	Blue Yonder — websearch	Director of Data & Analytics	Blue Wheel Media	skipped_title
https://jobs.ashbyhq.com/raft/72fc3305-9aa5-4609-b4e1-306835f547a6	2026-04-28	Ashby — Supply Chain	Demand Generation Director, Logistics & Supply Chain AI	Raft	skipped_title
https://job-boards.greenhouse.io/accenturefederalservices/jobs/4599650006	2026-04-28	Accenture — websearch	Data and AI Analyst	Accenture Federal Services	skipped_title
https://job-boards.greenhouse.io/accenturefederalservices/jobs/4617714006	2026-04-28	Accenture — websearch	Data and AI Analyst	Accenture Federal Services	skipped_title
https://jobs.lever.co/jobgether/6c74b24d-e182-450e-9566-be70744f9fd5	2026-04-28	Lever — Supply Chain Analyst	Remote Master Data Management Analyst	Jobgether	skipped_title
https://boards.greenhouse.io/samsara/jobs/7819567	2026-04-28	Greenhouse — Operations Analyst	Financial Analyst	Samsara	skipped_title
https://jobs.lever.co/imo-online/7975bc80-37a7-4e51-800d-590d295ba667	2026-04-28	Lever — Analytics Engineer	Senior AI Engineer - Clinical AI	IMO Health	skipped_title
https://jobs.lever.co/InfrastructureandCapitalProjects/83968f7e-bf1e-40d8-ad9e-54be05dc0b92	2026-04-28	Accenture — websearch	Infrastructure & Capital Projects Database Analyst	Accenture	skipped_title
https://job-boards.greenhouse.io/upstart/jobs/7778782	2026-05-01	Greenhouse — Data Analyst Chicago	Staff Data Analyst, Servicing	Upstart	added
https://jobs.havi.com/job/Chicago-Data-Analyst-IL-60290/1349888055/	2026-05-01	HAVI — websearch	Data Analyst	HAVI	added
https://www.google.com/about/careers/applications/jobs/results/142229588938760902-bi-analyst/	2026-05-01	Indeed — Chicago	BI Analyst, Finance, Finance Data and Analytics	Google	added
https://jobs.lever.co/sonatype/86fbcaa1-c506-4286-a42d-ab219744343e	2026-05-01	Lever — Data Analyst 2026	Senior Data Analyst	Sonatype	added
https://jobs.lever.co/whoop/c0237666-dcf7-469a-9f35-544a8922b9e7	2026-05-01	Lever — 2026	Business Analyst II (Global Operations)	Whoop	added
https://jobs.lever.co/talentwerx.io/df126fd1-0a4d-488e-b1d1-273bae2264d0	2026-05-01	Lever — 2026	Business Intelligence Analyst (Manufacturing) III	EXPANSIA	added
https://jobs.lever.co/PhoenixTailings/8a231840-3714-4ffa-b523-b07c93282d03	2026-05-01	Lever — 2026	Data Analyst – Leadership Development Program	Phoenix Tailings	added
https://jobs.lever.co/steerbridge/591fc6b2-bafa-41c7-8143-3cda18e78fd8	2026-05-01	Lever — 2026	Data Analyst	SteerBridge	added
https://job-boards.greenhouse.io/furtherearlycareer/jobs/8384017002	2026-05-01	Greenhouse — Data Analyst 2026	Graduate Leadership Program | Data Analyst	Further	added
https://careers.snowflake.com/us/en/job/SNCOUS2C8151D5AD6F4F57ADEA854FEE50AEAAEXTERNALENUS1E01065915514C45A9ED09A1BBA10F81/Staff-Analyst-GTM-Analytics	2026-05-01	Snowflake — websearch	Staff Analyst, GTM Analytics	Snowflake	skipped_expired
https://careers.snowflake.com/us/en/job/SNCOUS551A4B485E884EB3B26B8D98E4F2C9ADEXTERNALENUSB241904D7D4241F0967482E53D964846/Analyst-Finance-Analytics-AI	2026-05-01	Snowflake — websearch	Analyst, Finance Analytics & AI	Snowflake	skipped_expired
https://job-boards.greenhouse.io/databricks/jobs/7792338002	2026-05-01	Databricks — websearch	(expired listing)	Databricks	skipped_expired
https://careers.united.com/us/en/job/WHQ00025814/Senior-Analyst-Procurement-Analytics-HYBRID	2026-05-01	United Airlines — websearch	Senior Analyst - Procurement Analytics	United Airlines	skipped_expired
https://careers.morningstar.com/us/en/job/REQ-056451/Senior-Analyst-Structured-Finance-Analytics-Solutions-Team	2026-05-01	Morningstar — websearch	Senior Analyst, Structured Finance Analytics	Morningstar	skipped_expired
https://careers.kraftheinz.com/job/22366274/sr-analyst-people-analytics-chicago-il/	2026-05-01	Kraft Heinz — websearch	Sr. Analyst, People Analytics	Kraft Heinz	skipped_expired
https://job-boards.greenhouse.io/chowbus/jobs/7485186003	2026-05-01	Greenhouse — Business Intelligence 2026	BI Analyst_Remote	Chowbus	skipped_expired
https://job-boards.greenhouse.io/remotecom/jobs/7674093003	2026-05-01	Greenhouse — Business Intelligence 2026	Senior Treasury Business Intelligence Analyst	Remote.com	skipped_expired
https://job-boards.greenhouse.io/goguardian/jobs/4604965006	2026-05-01	Greenhouse — Business Intelligence 2026	Business Intelligence Analyst II	GoGuardian	skipped_expired
https://job-boards.greenhouse.io/machinifyinc/jobs/4147205009	2026-05-01	Greenhouse — Business Intelligence 2026	Senior Business Insights Analyst	Machinify	skipped_expired
